video_name,video_url,summary,content_theme,content_style,creator_presence,on_screen_text,key_video_elements,brand_safety,brand_type,brand_names,transcript
Beauty 2.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Beauty%202.mp4,"The video shows a makeup artist applying makeup to a woman. The artist applies primer, eyeshadow, eyeliner, and mascara to the woman's eyes. They also apply foundation, concealer, blush, and contour to the woman's face. The artist then applies lip liner, lipstick, and lip gloss to the woman's lips. The video ends with the woman looking at the camera.","['Beauty', 'Makeup Tutorials']","['Tutorials', 'Demonstration', 'Vlogs']","['Hands-only', 'Creator-centric', 'Partial visibility']",,"Creator, Beauty Products",Family-friendly,Multiple brands featured,"Huda Beauty, MAC","Honestly, this is probably one of my favorite glam looks that I've done so far. Keep watching to see how I've done it. Also, guys, I'm offering one-on-one lessons, so reach out to me on Instagram if you're interested. First things first, always prepping the eyelids with some concealer, setting it down with powder. I'm just going in with a few transition shades. I'm focusing them on the outer corner of the eye and then slightly dragging it through. I build them up first to the intensity that I like before I move on to the darker color. Now I'm intensifying the eye makeup with some black shadow and a bit of liner, smudging it out and making sure it's all blended. I've also made custom lash using individual lashes from SHEIN. At this point, her eyes are still matte because I wasn't sure if I wanted to add shimmer. For foundation, I used House Labs and Anastasia Beverly Hills foundation. And blush, I've used Morphe and the Made by Mitchel curve case. This is like my favorite part of the makeup because I feel like you can really see everything coming together now with the contour and the concealer and the blush placement, it's all coming together so nicely. It's looking so flawless and smooth. I'm just bronzing her up now. I'm just reinforcing everything that I've done with cream, but with powder now. With the blush, I'll use like five different blushes. I'll use a matte blush, a shimmery blush, and I just find that you get the perfect finish like that. For her lower lash line, I'm just using the same colors that I used for her eye shadow. For the shimmer, I used the House Labs highlighter. And now for her lips, I used the Spiffy from Morphe and just a bit of gloss from Maybelline. Honestly, this is just one of my favorite glam looks. It's just so stunning, so elegant, still glam without being too crazy. I'm obsessed. It's so flawless and smooth. I'm just bronzing her up now. I'm just reinforcing everything that I've done with cream, but with powder now. With the blush, I'll use like five different blushes. I'll use a matte blush, a shimmery blush, and I just find that you get the perfect finish like that. For her lower lash line, I'm just using the same colors that I used for her eye shadow. For the shimmer, I used the House Labs highlighter. And now for her lips, I used the Spiffy from Morphe and just a bit of gloss from Maybelline. Honestly, this is just one of my favorite glam looks. It's just so stunning, so elegant, still glam without being too crazy. I'm obsessed."
Beauty.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Beauty.mp4,The video shows a woman applying makeup. She applies a blind and then touches up her makeup. She sings and touches her face.,"Beauty, Makeup Tutorials","Tutorials, Demonstration, Talking-Head",Face only,,"Creator, Beauty Products, Clothing/Fashion Items",Family-friendly,No brands featured,,I'm a sit back with a blind. You put my hand in the cough. Can't can't touch.
Catching Food.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Catching%20Food.mp4,"The video shows a person spearfishing in South Florida. The creator is shown underwater in a wetsuit and mask, explaining the importance of hiding behind rocks or coral when hunting. They observe a school of fish, but note that parrotfish are protected and cannot be speared. The creator then spots a hogfish and describes it as delicious, with a minimum size requirement of 16 inches. The hogfish camouflages itself and swims away.","['Travel', 'Environmental']","['Vlogs', 'Demonstration', 'Storytelling']","['Face only', 'Partial visibility']",Location: South Florida,"Creator, Food, Technology, Nature",Family-friendly,None,KRATKA,"Catching my food. Whenever you're hunting, you want to make sure that you're hiding behind any rock or coral so that the fish that you want to eat doesn't see you. I looked onto a large parrot fish and while these guys do look big and tasty, you're not allowed to spear them because they're protected here in Florida. As I was following it, I ran out of air, so I decided to swim to the top. And from the top of the water, I saw a massive school of fish. Sometimes there's something tasty hiding in the school, so I went down to take a closer look. But when I didn't find anything, I waved them off and continued my search for what could be my breakfast. I stumbled across the most delicious fish in the sea, which is a lionfish. And when I took aim, I needed to make sure that I hit it good because these guys are destroying South Florida. That one fish wasn't going to be enough to feed me though, so I had to be extra stealthy. As I went across the bottom of the sea floor, looking for what else I can eat. I swam up to this hogfish that thought it was completely camouflaged. And when it realized that I saw it, it turned its camouflage off and slowly started swimming away. Well, this fish is delicious. It has to be a minimum of 16 inches, and this guy is just a little too small."
Coding Tutorials.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Coding%20Tutorials.mp4,"The video is a tutorial on how to create a desktop application. It shows examples of desktop apps like an egg timer and tic-tac-toe, and mentions a full step-by-step tutorial available on YouTube. The creator also provides access to a template code on GitHub. The video concludes with the creator waving goodbye.","Technology, DIY/Crafts, Education","Tutorials, Vlogs, How-To Guides","Creator-centric, Face only","Easy cute little desktop app tutorial, desktop applications, This is how to make, your very first desktop application, super beginner friendly, youtube: nashallery, preview, How to code ur first little desktop app from scratch (beginner friendly & cozy aesthetic :3), github: nasha-wanich, Electron App Template, IMPORTANT: Click & open README.md for full instructions, A simple ElectronJS starter template for building desktop apps., This repo is part of my YouTube tutorial on setting up your first simple, beginner-friendly, and easy-to-customize for any app., Tutorial Video, This repo is a part of my Youtube tutorial on how to build your first desktop app., See Youtube video:, Design File, Figma design file for this project: https://www.figma.com/..., What's in this repo, Little Calendar, A simple desktop calendar app built with HTML, CSS, JavaScript, and Electron., This project is part of my YouTube tutorial series on building your first Electron app., I posted a full YouTube tutorial walking through how to build the code along the way., happy coding!, bye :<3","Creator, Technology, Text/Graphics, DIY Projects",Family-friendly,No brands featured,,Easy cute little desktop app tutorial. desktop applications. like these? This is how to make your very first desktop application. super beginner friendly. youtube: nashallery. I have a full step-by-step tutorial on my YouTube from how to set up everything that you'll need to coding and styling your very first desktop app. Or if you just want to grab a template code. github: nasha-wanich. happy coding! bye :<3
DIY Craft.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/DIY%20Craft.mp4,"The video shows a person crafting a snowflake ornament from cardboard tubes. They cut strips from the tubes, shape them into petals, and assemble them into a snowflake design. The ornament is then decorated with a gold marker and hung with a red ribbon. The final ornament is displayed in front of a laptop screen showing a fireplace scene.",['DIY/Crafts'],"['Tutorial', 'Demonstration']","['Hands-only', 'Partial visibility']","TikTok, Product Names, Usernames/Handles","Creator, DIY Projects, Text/Graphics, Music/Sound, Props, Technology",Family-friendly,No brands featured,TikTok,"I was like, I love you, I meant to. Now I know what a fool I've been. But if you kissed me now, I know you'd fool me again."
Education.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Education.mp4,"The video shows several quick clips of people studying or in educational settings. The first clip shows a person in a library surrounded by books. The next clip shows a close-up of a report card with high grades. Another clip shows a young woman drinking wine and looking at a laptop, with a bulletin board behind her filled with notes and pictures. There is also a clip of someone holding textbooks and a keychain in what appears to be an elevator. Another clip shows a laptop screen displaying text in a library setting. Finally, a clip shows someone asleep on a stack of textbooks next to a backpack.",Education,Montages,Partial visibility,Titles/Headlines,"Creator, Text/Graphics, Food, Technology, Books, Home Decor",Family-friendly,No brands featured,,
Esport.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Esport.mp4,"The video shows a group of people, some in matching athletic wear, with one person writing on a large board. Later, a group of five individuals in similar outfits are holding a trophy. One of them examines a smaller golden object.","Gaming, Sports","Vlogs, Storytelling","Partial visibility, Full body","TikTok, POV","Creator, Product, Food, Technology, Text/Graphics, Music/Sound",Family-friendly,Exclusive brand partnership,,Everybody want to know what I would do if I didn't win. I guess we'll never know.
Fitness.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Fitness.mp4,"A person is shown performing a weightlifting exercise in a gym. The person lifts a loaded barbell from the floor to an overhead position, then lowers it back down.",Fitness,"Demonstration, Shorts/Reels/TikToks",Full body,,"Creator, Technology, Food, Fitness Equipment",Family-friendly,No brands featured,,No category
Food.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Food.mp4,"A person sits in a car with a large order of chicken wings, fries, and corn on the cob. They take a chicken wing and dip it into a glass of ranch dressing before eating it. They then proceed to eat the chicken wings, fries with cheese sauce, and corn on the cob, often dipping them into various sauces.","['Recipes', 'Food Reviews']","['Mukbang', 'Taste Tests', 'Vlogs']","['Creator-centric', 'Full body', 'Face only']",Quotes,"Creator, Food, Text/Graphics","Family-friendly, Mild language",Food and beverage brands,Wingstop,"Eat Wingstop for the whole day! That might cause some other things to stop, but let's eat. Rate 8.8/10 😌"
Hair Tutorial.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Hair%20Tutorial.mp4,"The video shows a person demonstrating how to curl their hair using a curling iron. They section their hair, curl strands, and then apply hairspray. The video also briefly shows two hair products.",Beauty,Tutorials,Face only,how i curl my hair,"Creator, Technology, Beauty Products, Text/Graphics",Family-friendly,Multiple brands featured,"ICK, RIKI","how I curl my hair
Big black boots
Long brown hair
And she's so sweet with her
Yeah back then
I can say
That you were with me and God
But you'll be with another man
That I know
Will I be your girlfriend?"
